stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
Przemysl Glowny,,119952,49.78366,22.776363,1
Przemysl Glowny,119952,364414,49.78366,22.776363,
Przeworsk,,556898,50.067215,22.503357,1
Przeworsk,556898,648539,50.067215,22.503357,
Pörtschach am Wörther See,,91294,46.6362,14.146231,1
Pörtschach am Wörther See,91294,584624,46.6362,14.146231,
RV Bahnhof,,326531,47.784554,9.606673,1
Radolfzell,636255,345328,47.735676,8.969058,
Radolfzell,636255,575485,47.735714,8.969103,
Radolfzell Bahnhof,,636255,47.735924,8.969031,1
Radstadt,,283030,47.38424,13.467809,1
Radstadt,283030,334472,47.38424,13.467809,
Rankweil,,69164,47.273018,9.637252,1
Rankweil,69164,130973,47.273018,9.637252,
Rastatt,,228619,48.860622,8.215165,1
Rastatt,228619,93291,48.86085,8.21592,
Ravensburg,326531,531071,47.784374,9.606126,
Ravensburg,326531,542293,47.78441,9.605964,
Recklinghausen Hbf,,302895,51.61598,7.201371,1
Recklinghausen Hbf,302895,574939,51.61667,7.203509,
Regensburg Hbf,,480786,49.01167,12.099624,1
Regensburg Hbf,480786,281235,49.011673,12.099617,
Remagen,141115,87997,50.577213,7.229779,
Remagen Bf,,141115,50.57721,7.229767,1
Rendsburg,,448986,54.302097,9.671307,1
Rendsburg,448986,129241,54.302155,9.671009,
Rendsburg,448986,327569,54.302082,9.671422,
Reutlingen Hauptbahnhof,,53300,48.49643,9.20951,1
Reutlingen Hbf,53300,219357,48.49659,9.209771,
Reutlingen Hbf,53300,631140,48.496216,9.20934,
Rheine,342662,116189,52.275837,7.434987,
Rheine,342662,483368,52.27575,7.434754,
Rheine,342662,76679,52.275906,7.435158,
"Rheine, Bahnhof",,342662,52.276505,7.435733,1
Rheydt Hbf,93130,122487,51.162872,6.439879,
Rheydt Hbf,93130,657391,51.162872,6.439456,
Ribnitz-Damgarten West,,636568,54.23918,12.436968,1
Ribnitz-Damgarten West,636568,502653,54.239178,12.436965,
Ribnitz-Damgarten West,636568,527047,54.2392,12.437373,
Ribnitz-Damgarten West,636568,552200,54.239265,12.437355,
Riesa,81072,179419,51.30983,13.288293,
Riesa,81072,180713,51.309654,13.287734,
Riesa,81072,381896,51.309734,13.288329,
Riesa,81072,81091,51.309536,13.287395,
Riesa Busbf/Bahnhof,,81072,51.3094,13.288383,1
Rijeka,,52577,45.330135,14.430337,1
Rijeka,52577,299698,45.330135,14.430337,
Ringsheim Bahnhof,,420177,48.248672,7.773023,1
Ringsheim/Europa-Park,420177,224480,48.248688,7.772987,
Ringsheim/Europa-Park,420177,618446,48.248726,7.773037,
Ringsted st,,156566,55.438038,11.786155,1
Ringsted st,156566,162176,55.438038,11.786155,
Roedekro st,,20290,55.069687,9.332754,1
Roedekro st,20290,295955,55.069687,9.332754,
Rosenheim,,134713,47.850018,12.119207,1
Rosenheim,134713,452049,47.850018,12.119202,
Rostock Hauptbahnhof,,366837,54.07818,12.130724,1
Rostock Hbf,366837,106286,54.077587,12.132206,
Rostock Hbf,366837,124047,54.078724,12.130823,
Rostock Hbf,366837,133643,54.078262,12.131398,
Rostock Hbf,366837,25789,54.078526,12.1304,
Rostock Hbf,366837,394056,54.078793,12.130948,
Rostock Hbf,366837,405474,54.07861,12.130176,
Rostock Hbf,366837,472245,54.078552,12.130059,
Rostock Hbf,366837,55666,54.078247,12.131079,
Rottweil,168977,233353,48.165527,8.63988,
Rottweil,168977,368057,48.16566,8.639871,
Rottweil Bahnhof,,168977,48.165253,8.640661,1
Rovereto,,561989,45.890564,11.033907,1
Rovereto,561989,146798,45.89096,11.033601,
Rudolstadt (Thüringen),,82210,50.718,11.339156,1
Rudolstadt(Thür),82210,669730,50.71793,11.338899,
Rzepin,,118181,52.350224,14.815073,1
Rzepin,118181,172778,52.350224,14.815073,
