stop_name,stop_id,stop_lat,stop_lon
Lindau-Reutin,305042,47.552383,9.703287
Lingen,34237,52.519543,7.321198
Linz,247013,48.29018,14.292131
Lippstadt,583133,51.671047,8.349535
Liège-Guillemins,637829,50.62436,5.566483
Ljubljana,654197,46.05869,14.512937
Lubin Gorniczy,233317,51.39612,16.193586
Ludwigsburg,649349,48.892082,9.185229
Ludwigshafen,233310,49.476994,8.433321
Ludwigslust,145617,53.334454,11.494384
Ludwigsstadt,580161,50.486584,11.382993
Lunderskov st,436306,55.48012,9.303791
Lutherstadt Wittenberg,22809,51.86781,12.662289
Lübben,494772,51.93989,13.877536
Lübbenau,270038,51.862114,13.962173
Lübeck,444617,53.867214,10.668884
Lüneburg,347482,53.249958,10.419971
MG  /Europaplatz,229552,51.19697,6.445394
MG Rheydt,93130,51.162895,6.440256
Maasbüll,343991,54.754414,8.812732
Magdeburg,73267,52.13035,11.626888
Magdeburg-Buckau,657608,52.109207,11.630039
Mainz,355696,50.00145,8.258419
Mallnitz-Obervellach,508617,46.981213,13.176498
Mannheim,310590,49.479748,8.469936
Marburg,253000,50.819256,8.774007
Marienhafe,352626,53.519897,7.273198
Memmingen,208485,47.985584,10.18685
Meppen,70306,52.695477,7.298093
Metzingen,307086,48.539753,9.29008
Miechow,402203,50.35442,20.011295
Milano Centrale,340031,45.48714,9.204824
Minden,75050,52.29013,8.934177
Minden,54972,52.289375,8.927915
Montabaur Bf,148077,50.44483,7.825323
Mosonmagyarovar,248790,47.850357,17.266424
Murnau,626653,47.682266,11.192631
Mühlacker,470504,48.95299,8.846079
Mülheim,416092,51.430553,6.886431
Müllheim,248846,47.809597,7.599487
München,210727,48.14029,11.559602
Münster,131965,51.9567,7.63444
Mürzzuschlag,85460,47.60795,15.677393
Nagymaros-Visegrad,444493,47.790894,18.9588
Naumburg,53076,51.16307,11.796988
Neu-Ulm,216329,48.393044,10.004825
Neumarkt am Wallersee,106258,47.954674,13.224806
Neumünster,594469,54.07566,9.979757
Neuss,289857,51.203526,6.683106
Neustadt,401622,49.35004,8.139967
Neustrelitz,329604,53.359474,13.07435
Niebüll,96565,54.78956,8.834768
Niebüll neg,260797,54.78955,8.832959
Nienburg,340397,52.645344,9.217862
Norddeich,176422,53.62152,7.160884
Norddeich Mole,653227,53.62432,7.158739
Norden,285635,53.588013,7.219321
Northeim,619556,51.70327,9.986607
Nove Zamky,425417,47.995003,18.173956
Nürnberg,326966,49.445614,11.082992
Nürtingen,318551,48.62813,9.342721
Oberhausen,179726,51.474,6.853346
Oberndorf,357315,48.29559,8.575291
Oberstdorf,224358,47.411034,10.278092
Odense st,593547,55.401775,10.386005
Offenburg,120667,48.476387,7.946587
Oldenburg,320843,53.144222,8.222684
Olten,185210,47.351936,7.9077
Opatija Matulji,533363,45.3647,14.32098
Opoczno Poludnie,144987,51.358517,20.231709
